#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第106回 問83】実務・中毒・救急<br><br>DNAR（Do Not Attempt Resuscitation）の説明として正しいのはどれか。1つ選べ。<br><br>1. 生物学的製剤の投与を行わないこと。<br>2. 特定の疾患を有する患者を差別しないこと。<br>3. 患者の意向を無視して独善的な医療をしないこと。<br>4. 胎児の染色体異常の有無を知るための検査を行わないこと。<br>5. 終末期において本人あるいは代理人の同意を得て二次心肺蘇生措置を行わないこと。	<b>正答：5</b><br>終末期において本人あるいは代理人の同意を得て二次心肺蘇生措置を行わないこと。<br><br>テーマ：中毒・救急（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::中毒_救急 第106回
【第106回 問84】実務・未分類<br><br>に当てはまる適切な語句はどれか。1つ選べ。がんの宣告を受ける、交通事故に遭遇する、あるいは愛する人を失うと不安を抱き混乱した状態になる。このような不安を軽減しようとするために示す無意識な反応をと呼ぶ。<br><br>1. 行動変容<br>2. 心理的防衛機制<br>3. 健康信念<br>4. アサーション<br>5. エンパワーメント	<b>正答：2</b><br>心理的防衛機制<br><br>テーマ：未分類（10年3問・2/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::未分類 第106回
【第106回 問85】実務・副作用モニタリング・禁忌<br><br>投与中に、血清ナトリウム値に注意が必要な薬物はどれか。1つ選べ。<br><br>1. トルバプタン<br>2. カナグリフロジン<br>3. スボレキサント<br>4. リナグリプチン<br>5. プレガバリン	<b>正答：1</b><br>トルバプタン<br><br>テーマ：副作用モニタリング・禁忌（10年8問・6/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::副作用モニタリング_禁忌 第106回
【第106回 問86】実務・副作用モニタリング・禁忌<br><br>ラモトリギンに対して発出された安全性速報（ブルーレター）を契機に添付文書の「警告」に記載された重篤な副作用はどれか。1つ選べ。<br><br>1. 低カルシウム血症<br>2. 高ビリルビン血症<br>3. 間質性肺疾患<br>4. 腎機能障害<br>5. 皮膚障害	<b>正答：5</b><br>皮膚障害<br><br>テーマ：副作用モニタリング・禁忌（10年8問・6/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::副作用モニタリング_禁忌 第106回
【第106回 問87】実務・TDM・検査値の活用<br><br>ジゴキシンが投与されている患者について、安全性確保の点からモニタリングが推奨される項目はどれか。1つ選べ。<br><br>1. ヘマトクリット値<br>2. PT︲INR 値<br>3. 薬物血中濃度<br>4. 尿中 C︲ペプチド値<br>5. 血清尿酸値	<b>正答：3</b><br>薬物血中濃度<br><br>テーマ：TDM・検査値の活用（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::TDM_検査値の活用 第106回
【第106回 問88】実務・服薬指導・製剤の取扱い<br><br>ドライパウダー吸入器の使用法に関する説明として適切なのはどれか。1つ選べ。<br><br>1. 吸入前に容器をよく振ってください。<br>2. 吸入前に息を吐かないでください。<br>3. 吸入時は勢いよく深く息を吸い込んでください。<br>4. 吸入してから息を止めないでください。<br>5. 吸入口を下に向けて吸い込んでください。	<b>正答：3</b><br>吸入時は勢いよく深く息を吸い込んでください。<br><br>テーマ：服薬指導・製剤の取扱い（10年12問・9/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::服薬指導_製剤の取扱い 第106回
【第106回 問89】実務・未分類<br><br>動脈硬化をきたしている脂質異常症患者において、実施すべきでない食事・生活習慣はどれか。1つ選べ。<br><br>1. 禁煙<br>2. n︲3系多価不飽和脂肪酸の摂取制限<br>3. コレステロールの摂取制限<br>4. 塩分の摂取制限<br>5. 飲酒制限	<b>正答：2</b><br>n︲3系多価不飽和脂肪酸の摂取制限<br><br>テーマ：未分類（10年3問・2/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::未分類 第106回
【第106回 問90】実務・調剤・処方箋<br><br>患者が複数の医療機関を利用する場合であっても、かかりつけ薬剤師が患者の服薬情報を一元的・継続的に把握するために活用できるものとして最も適切なのはどれか。1つ選べ。<br><br>1. トレーシングレポート<br>2. 調剤明細書<br>3. お薬手帳<br>4. 診療情報提供書<br>5. 診療計画書（クリティカルパス）	<b>正答：3</b><br>お薬手帳<br><br>テーマ：調剤・処方箋（10年9問・7/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::調剤_処方箋 第106回
【第107回 問1】物理・酸塩基平衡・緩衝液　🔢計算<br><br>0 . 010 mol/L 水酸化ナトリウム水溶液の pH として最も近い値はどれか。1つ選べ。ただし、水のイオン積 K w =［H+］［OH-］= 1 . 0 × 10-14（mol/L）2とする。<br><br>1. 1<br>2. 2<br>3. 7<br>4. 12<br>5. 13	<b>正答：4</b><br>12<br><br>テーマ：酸塩基平衡・緩衝液（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::酸塩基平衡_緩衝液 第107回 flag::計算
【第107回 問2】物理・熱力学　📐図・構造式<br><br>平衡状態にある次の化学反応系に関する記述のうち、正しいのはどれか。1つ選べ。3 2 H2 ⒢ + 1 2 N2 ⒢ NH3 ⒢ D fH °= -46 . 1 kJ/mol D fH °は標準生成エンタルピー、⒢は気体状態を表す。<br><br>1. 系の温度を下げると、平衡は右側へ移動する。<br>2. 系の圧力を下げると、平衡は右側へ移動する。<br>3. 系に水素ガスを加えると、平衡は左側へ移動する。<br>4. この反応は吸熱反応である。<br>5. この反応の平衡定数は系の温度に依存しない。	<b>正答：1</b><br>系の温度を下げると、平衡は右側へ移動する。<br><br>テーマ：熱力学（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::熱力学 第107回 flag::図
【第107回 問3】物理・溶液・束一的性質　🔢計算 📐図・構造式<br><br>図は、電位の基準となる標準水素電極の模式図である。図中の空欄アにあてはまる数値はどれか。1つ選べ。なお、1 atm は1 . 013 × 105 Pa を表す。白金の板分圧が1 atm の H2 H+ の活量がアの希塩酸 H+ Cl- H+ Cl- Cl- H+<br><br>1. 0<br>2. 0 . 1<br>3. 1<br>4. 7<br>5. 14	<b>正答：3</b><br>1<br><br>テーマ：溶液・束一的性質（10年6問・4/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::溶液_束一的性質 第107回 flag::計算 flag::図
【第107回 問4】物理・溶液・束一的性質　🔢計算<br><br>0 . 10 mol/L 硫酸ナトリウム水溶液中における硫酸バリウムの溶解度に最も近いのはどれか。1つ選べ。ただし、温度は25 ℃とし、同温度における硫酸バリウムの溶解度積を1 . 0 × 10-10（mol/L）2とし、硫酸バリウムの溶解による溶液の体積変化は無視できるものとする。1<br><br>1. . 0 × 10-19 mol/L<br>2. 1 . 0 × 10-11 mol/L<br>3. 1 . 0 × 10-9 mol/L<br>4. 1 . 0 × 10-5 mol/L<br>5. 1 . 0 × 10-4 mol/L	<b>正答：3</b><br>1 . 0 × 10-9 mol/L<br><br>テーマ：溶液・束一的性質（10年6問・4/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::溶液_束一的性質 第107回 flag::計算
【第107回 問5】物理・クロマトグラフィー<br><br>液体クロマトグラフィー/質量分析法において、用いられるイオン化法はどれか。1つ選べ。<br><br>1. エレクトロスプレーイオン化（ESI）法<br>2. 化学イオン化（CI）法<br>3. 高速原子衝撃（FAB）法<br>4. 電子イオン化（EI）法<br>5. マトリックス支援レーザー脱離イオン化（MALDI）法	<b>正答：1</b><br>エレクトロスプレーイオン化（ESI）法<br><br>テーマ：クロマトグラフィー（10年1問・1/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::クロマトグラフィー 第107回
【第107回 問6】化学・命名法・構造決定　📐図・構造式<br><br>3︲メチルブタ︲2︲エン︲1︲オール（IUPAC 命名法）はどれか。1つ選べ。 H3C H3C OH CH2 H2C CH3 OH CH3 CH3 OH H2C OH H3C OH CH3 H2C H3C<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：命名法・構造決定（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::命名法_構造決定 第107回 flag::図
【第107回 問7】化学・命名法・構造決定　📐図・構造式<br><br>結合している原子に着目したとき、三角錐型の構造をもつのはどれか。1つ選べ。 H H + C H H C H H F B F H C H F H H H C O<br><br>※図・構造式が必要な問題です	<b>正答：2</b><br><br>テーマ：命名法・構造決定（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::命名法_構造決定 第107回 flag::図
【第107回 問8】化学・立体化学　📐図・構造式<br><br>次の2つの薬物に関する記述のうち、正しいのはどれか。1つ選べ。 H3C O N H HO H N H H CH2 H3C O N H HO H N H H CH2キニジンキニーネ<br><br>1. エナンチオマーの関係にある。<br>2. ジアステレオマーの関係にある。<br>3. 構造異性体の関係にある。<br>4. 融点が同じである。<br>5. 比旋光度［a］20 D の絶対値が同じである。	<b>正答：2</b><br>ジアステレオマーの関係にある。<br><br>テーマ：立体化学（10年7問・7/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::立体化学 第107回 flag::図
【第107回 問9】化学・無機・電子論　📐図・構造式<br><br>不対電子を1つもつのはどれか。1つ選べ。<br><br>1. CO<br>2. NO<br>3. SO3<br>4. O2<br>5. N2	<b>正答：2</b><br>NO<br><br>テーマ：無機・電子論（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::無機_電子論 第107回 flag::図
【第107回 問10】化学・生薬・天然物　📐図・構造式<br><br>トリプトファン由来のアルカロイドはどれか。1つ選べ。 O O H3C H O O O N H CH3 CH3 O O CH3 HO H N O O H3C CH3 H N OH H H H3C CH3 N N H CH3 H O OH H NCH3 H O H O O O H3C O N+ O CH3<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：生薬・天然物（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::生薬_天然物 第107回 flag::図
【第107回 問11】生物・ホルモン・情報伝達<br><br>女性の月経周期において、排卵直前に分泌量が急激に増加してピークに達し、排卵の開始を誘発するホルモンはどれか。1つ選べ。<br><br>1. 黄体形成ホルモン（LH）<br>2. オキシトシン<br>3. プロラクチン<br>4. ヒト絨毛性性腺刺激ホルモン（hCG）<br>5. プロゲステロン	<b>正答：1</b><br>黄体形成ホルモン（LH）<br><br>テーマ：ホルモン・情報伝達（10年4問・4/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::ホルモン_情報伝達 第107回
【第107回 問12】生物・代謝経路　📐図・構造式<br><br>尿素回路の代謝中間体であるオルニチンはどれか。1つ選べ。 H2N COOH H NH2 H2N O NH N H H2N COOH H2N NH2 H NH2 COOH H NO HN O H N N H O<br><br>※図・構造式が必要な問題です	<b>正答：1</b><br><br>テーマ：代謝経路（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::代謝経路 第107回 flag::図
【第107回 問13】生物・遺伝子・分子生物学　📐図・構造式<br><br>図は、真核生物において DNA 上の遺伝子からタンパク質が作られるまでの過程を示している。矢印アで示す反応はどれか。1つ選べ。 DNA 5ʼ 3ʼ キャップ3ʼ 5ʼ ポリ A 配列 AAA AA ア AAA AA 切断された RNA 断片 AAA AA 核外へ移行成熟 mRNA AAA AA タンパク質<br><br>1. 転写<br>2. 逆転写<br>3. スプライシング<br>4. RNA 干渉<br>5. 翻訳	<b>正答：3</b><br>スプライシング<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第107回 flag::図
【第107回 問14】生物・遺伝子・分子生物学　📐図・構造式<br><br>図は、細胞分裂後期にある細胞の様子を示している。図中のＡで示された構造体はどれか。1つ選べ。 Ａ 娘染色体核膜が分かれた断片<br><br>1. 紡錘体<br>2. 中心体<br>3. 核小体<br>4. 動原体<br>5. 収縮環	<b>正答：4</b><br>動原体<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第107回 flag::図
【第107回 問15】生物・微生物<br><br>リケッチアを病原体とする感染症はどれか。1つ選べ。<br><br>1. 梅毒<br>2. 熱帯熱マラリア<br>3. オンコセルカ症（河川盲目症）<br>4. ツツガムシ病<br>5. 日本脳炎	<b>正答：4</b><br>ツツガムシ病<br><br>テーマ：微生物（10年4問・4/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::微生物 第107回
【第107回 問16】衛生・栄養・食事摂取基準<br><br>体格指数の1つである BMI を算出する式はどれか。1つ選べ。1身長（m）体重（kg）身長（m） ［体重（kg）］2 3体重（kg）身長（m）4 ［体重（kg）］2身長（m）5体重（kg） ［身長（m）］2<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：栄養・食事摂取基準（10年10問・7/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::栄養_食事摂取基準 第107回
【第107回 問17】衛生・食中毒・食品衛生<br><br>自然毒のうち、魚介類による食中毒の原因となるのはどれか。1つ選べ。<br><br>1. アコニチン<br>2. ソラニン<br>3. アミグダリン<br>4. テトロドトキシン<br>5. チャコニン	<b>正答：4</b><br>テトロドトキシン<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第107回
【第107回 問18】衛生・食中毒・食品衛生<br><br>食品表示法に基づき、用途名と物質名を併記する必要がある食品添加物はどれか。1つ選べ。<br><br>1. 香料<br>2. 甘味料<br>3. 調味料<br>4. 乳化剤<br>5. pH 調整剤	<b>正答：2</b><br>甘味料<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第107回
【第107回 問19】衛生・栄養・食事摂取基準<br><br>精白米の第一制限アミノ酸はどれか。1つ選べ。<br><br>1. バリン<br>2. リシン<br>3. ロイシン<br>4. イソロイシン<br>5. トリプトファン	<b>正答：2</b><br>リシン<br><br>テーマ：栄養・食事摂取基準（10年10問・7/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::栄養_食事摂取基準 第107回
【第107回 問20】衛生・食中毒・食品衛生　⚠️否定形<br><br>食品の腐敗を防ぐ方法として、誤っているのはどれか。1つ選べ。<br><br>1. くん煙<br>2. 冷凍保存<br>3. 加湿<br>4. 加熱<br>5. 保存料の添加	<b>正答：3</b><br>加湿<br><br>テーマ：食中毒・食品衛生（10年19問・9/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::食中毒_食品衛生 第107回 flag::否定形
【第107回 問21】衛生・薬物乱用・依存　📐図・構造式 選択肢6<br><br>図は、我が国の薬物事犯について、2010年から2019年の法律別検挙人数を示したものである。法律Ａ～Ｅは、覚醒剤取締法、大麻取締法、麻薬及び向精神薬取締法、あへん法、毒物及び劇物取締法のいずれかである。近年、法律Ｂによる検挙人数が増加傾向にある。法律Ｂとして正しいのはどれか。1つ選べ。検挙人数（人）12500 10000 7500 5000 2500 0法律Ａ 法律Ｂ 法律Ｃ 法律Ｄ 法律Ｅ 0 1 0 2 1 1 0 2 2 1 0 2 3 1 0 2 4 1 0 2 5 1 0 2 6 1 0 2 7 1 0 2 8 1 0 2 9 1 0 2年（注）覚醒剤取締法、大麻取締法、麻薬及び向精神薬取締法、あへん法違反の検挙人数は特別司法警察員が検挙した者を含む。令和2年版犯罪白書を基に作成<br><br>1. 覚醒剤取締法<br>2. 大麻取締法<br>3. 麻薬及び向精神薬取締法<br>4. あへん法<br>5. 毒物及び劇物取締法	<b>正答：2</b><br>大麻取締法<br><br>テーマ：薬物乱用・依存（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::薬物乱用_依存 第107回 flag::図
【第107回 問22】衛生・化学物質の毒性・解毒<br><br>化学物質のリスク分析において、「消費者、事業者、行政担当者などの関係者の間で情報及び意見を共有することで相互に意思疎通を図ること」を意味するのはどれか。1つ選べ。<br><br>1. リスク評価<br>2. リスク管理<br>3. リスクコミュニケーション<br>4. 安全データシート（SDS）制度<br>5. マニフェスト制度	<b>正答：3</b><br>リスクコミュニケーション<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第107回
【第107回 問23】衛生・化学物質の毒性・解毒<br><br>2︲ナフチルアミンが生体内で代謝的活性化されてニトレニウムイオンを生じる過程において、最初に起こる代謝反応はどれか。1つ選べ。<br><br>1. エポキシ化<br>2. N ︲ヒドロキシ化<br>3. グルクロン酸抱合<br>4. 硫酸抱合<br>5. アセチル抱合	<b>正答：2</b><br>N ︲ヒドロキシ化<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第107回
【第107回 問24】衛生・化学物質の毒性・解毒<br><br>公共用水域の水質汚濁に関する「人の健康の保護に関する環境基準」において、基準値が「検出されないこと」と定められているのはどれか。1つ選べ。<br><br>1. カドミウム<br>2. ヒ素<br>3. アルキル水銀<br>4. トリクロロエチレン<br>5. 硝酸性窒素及び亜硝酸性窒素	<b>正答：3</b><br>アルキル水銀<br><br>テーマ：化学物質の毒性・解毒（10年20問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::化学物質の毒性_解毒 第107回
【第107回 問25】衛生・環境衛生<br><br>医療機関により廃棄される未使用の注射針が該当する区分として、最も適切なのはどれか。1つ選べ。<br><br>1. 事業系一般廃棄物<br>2. 家庭系一般廃棄物<br>3. 特別管理一般廃棄物<br>4. 特別管理産業廃棄物<br>5. 非感染性廃棄物	<b>正答：4</b><br>特別管理産業廃棄物<br><br>テーマ：環境衛生（10年22問・10/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::環境衛生 第107回
【第107回 問26】薬理・自律神経作用薬<br><br>Cl- チャネル内蔵型受容体はどれか。1つ選べ。<br><br>1. アセチルコリン NM 受容体<br>2. c︲アミノ酪酸 GABAA 受容体<br>3. セロトニン5︲HT3受容体<br>4. グルタミン酸 NMDA 受容体<br>5. ATP P2X 受容体	<b>正答：2</b><br>c︲アミノ酪酸 GABAA 受容体<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第107回
【第107回 問27】薬理・自律神経作用薬　📐図・構造式<br><br>麻酔したラットにおいてフェントラミン処置後にアドレナリンを静脈内投与すると、アドレナリンの昇圧作用は認められず、降圧作用のみが見られた。この現象を生じさせたフェントラミンの機序はどれか。1つ選べ。<br><br>1. アドレナリン a1受容体刺激<br>2. アドレナリン a1受容体遮断<br>3. アドレナリン b1受容体刺激<br>4. アドレナリン b1受容体遮断<br>5. アドレナリン b2受容体遮断	<b>正答：2</b><br>アドレナリン a1受容体遮断<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第107回 flag::図
【第107回 問28】薬理・自律神経作用薬　📐図・構造式<br><br>メピバカインの局所麻酔作用の機序はどれか。1つ選べ。<br><br>1. ATP 感受性 K+ チャネルの刺激<br>2. アセチルコリン NN 受容体の遮断<br>3. 電位依存性 Na+ チャネルの遮断<br>4. セロトニン5︲HT1A 受容体の遮断<br>5. 電位依存性 T 型 Ca2+ チャネルの遮断	<b>正答：3</b><br>電位依存性 Na+ チャネルの遮断<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第107回 flag::図
【第107回 問29】薬理・自律神経作用薬<br><br>ミルタザピンがシナプス間隙のセロトニン及びノルアドレナリンを増加させる機序はどれか。1つ選べ。<br><br>1. アドレナリン a2受容体遮断<br>2. セロトニン5︲HT2A 受容体刺激<br>3. セロトニン5︲HT3受容体刺激<br>4. モノアミン酸化酵素阻害<br>5. セロトニン及びノルアドレナリンの再取り込み阻害	<b>正答：1</b><br>アドレナリン a2受容体遮断<br><br>テーマ：自律神経作用薬（10年38問・10/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::自律神経作用薬 第107回
【第107回 問30】薬理・中枢神経作用薬<br><br>抗てんかん薬ガバペンチンの作用点はどれか。1つ選べ。<br><br>1. 電位依存性 Ca2+ チャネル<br>2. 電位依存性 Na+ チャネル<br>3. シナプス小胞タンパク質 SV2A<br>4. c︲アミノ酪酸 GABAA 受容体<br>5. グルタミン酸 AMPA 受容体	<b>正答：1</b><br>電位依存性 Ca2+ チャネル<br><br>テーマ：中枢神経作用薬（10年25問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::中枢神経作用薬 第107回
【第107回 問31】薬理・抗がん薬・免疫<br><br>T 細胞のカルシニューリンを阻害する免疫抑制薬はどれか。1つ選べ。<br><br>1. シクロホスファミド<br>2. アザチオプリン<br>3. レフルノミド<br>4. バシリキシマブ<br>5. シクロスポリン	<b>正答：5</b><br>シクロスポリン<br><br>テーマ：抗がん薬・免疫（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::抗がん薬_免疫 第107回
【第107回 問32】薬理・内分泌・代謝薬<br><br>骨粗しょう症治療薬テリパラチドの作用点はどれか。1つ選べ。<br><br>1. ヒドロキシアパタイト<br>2. オステオカルシン<br>3. カルシトニン受容体<br>4. 副甲状腺ホルモン受容体<br>5. エストロゲン受容体	<b>正答：4</b><br>副甲状腺ホルモン受容体<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第107回
【第107回 問33】薬理・循環器作用薬<br><br>心筋収縮力及び心拍数を低下させ、労作性狭心症発作を予防するのはどれか。1つ選べ。<br><br>1. 硝酸イソソルビド<br>2. チクロピジン<br>3. ピモベンダン<br>4. アテノロール<br>5. デノパミン	<b>正答：4</b><br>アテノロール<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第107回
【第107回 問34】薬理・未分類<br><br>プラスミンによるフィブリン溶解を抑制することで、止血作用を示すのはどれか。1つ選べ。<br><br>1. トラネキサム酸<br>2. アルテプラーゼ<br>3. カルバゾクロム<br>4. プロタミン<br>5. フィトナジオン	<b>正答：1</b><br>トラネキサム酸<br><br>テーマ：未分類（10年9問・6/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::未分類 第107回
【第107回 問35】薬理・循環器作用薬　⚠️否定形<br><br>利尿薬の作用機序でないのはどれか。1つ選べ。<br><br>1. バソプレシン V2受容体遮断<br>2. 心房性ナトリウム利尿ペプチド（ANP）受容体刺激<br>3. アルドステロン受容体刺激<br>4. 炭酸脱水酵素阻害<br>5. Na+︲K+︲2Cl- 共輸送系阻害	<b>正答：3</b><br>アルドステロン受容体刺激<br><br>テーマ：循環器作用薬（10年15問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::循環器作用薬 第107回 flag::否定形
【第107回 問36】薬理・呼吸器・消化器薬<br><br>肺サーファクタント分泌を促進する去痰薬はどれか。1つ選べ。<br><br>1. オキシメテバノール<br>2. アセチルシステイン<br>3. カルボシステイン<br>4. ドルナーゼアルファ<br>5. アンブロキソール	<b>正答：5</b><br>アンブロキソール<br><br>テーマ：呼吸器・消化器薬（10年5問・4/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::呼吸器_消化器薬 第107回
【第107回 問37】薬理・呼吸器・消化器薬<br><br>Cl- チャネル2（ClC︲2）を活性化する慢性便秘症治療薬はどれか。1つ選べ。<br><br>1. センノシド<br>2. カルメロース<br>3. ラクツロース<br>4. ビサコジル<br>5. ルビプロストン	<b>正答：5</b><br>ルビプロストン<br><br>テーマ：呼吸器・消化器薬（10年5問・4/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::呼吸器_消化器薬 第107回
【第107回 問38】薬理・内分泌・代謝薬<br><br>メチラポンによるコルチゾール産生抑制の機序はどれか。1つ選べ。<br><br>1. 副腎皮質刺激ホルモン（ACTH）の分泌抑制<br>2. ソマトスタチンの分泌亢進<br>3. 副腎皮質細胞壊死<br>4. 3 b︲ヒドロキシステロイド脱水素酵素の阻害<br>5. 11 b︲水酸化酵素の阻害	<b>正答：5</b><br>11 b︲水酸化酵素の阻害<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第107回
【第107回 問39】薬理・内分泌・代謝薬<br><br>腎尿細管の尿酸トランスポーター（URAT1）を阻害して、尿酸再吸収を抑制するのはどれか。1つ選べ。<br><br>1. コルヒチン<br>2. フェブキソスタット<br>3. プロベネシド<br>4. アロプリノール<br>5. ラスブリカーゼ	<b>正答：3</b><br>プロベネシド<br><br>テーマ：内分泌・代謝薬（10年24問・9/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::内分泌_代謝薬 第107回
【第107回 問40】薬理・未分類<br><br>細菌のリボソーム30S サブユニットに結合して、タンパク質合成を阻害する抗菌薬はどれか。1つ選べ。<br><br>1. クリンダマイシン<br>2. ストレプトマイシン<br>3. リネゾリド<br>4. エリスロマイシン<br>5. クロラムフェニコール	<b>正答：2</b><br>ストレプトマイシン<br><br>テーマ：未分類（10年9問・6/10回）	薬剤師国家試験 必須問題 科目::薬理 テーマ::未分類 第107回
【第107回 問41】薬剤・吸収・膜透過　📐図・構造式<br><br>下図のセファレキシンの消化管吸収に主として関与するトランスポーターはどれか。1つ選べ。 CO2H CH3 N S H H H2N H O H N O<br><br>1. 有機アニオントランスポーター OAT1<br>2. 有機カチオントランスポーター OCT2<br>3. P︲糖タンパク質<br>4. ペプチドトランスポーター PEPT1<br>5. グルコーストランスポーター SGLT2	<b>正答：4</b><br>ペプチドトランスポーター PEPT1<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第107回 flag::図
【第107回 問42】薬剤・吸収・膜透過<br><br>アルミニウム、マグネシウム等の金属を含有する経口剤と同時に経口投与すると、吸収が低下する薬剤はどれか。1つ選べ。<br><br>1. オメプラゾール錠<br>2. レボフロキサシン錠<br>3. フェノバルビタール散<br>4. リボフラビン酪酸エステル錠<br>5. ワルファリンカリウム錠	<b>正答：2</b><br>レボフロキサシン錠<br><br>テーマ：吸収・膜透過（10年28問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::吸収_膜透過 第107回
【第107回 問43】薬剤・分布<br><br>血漿タンパク質のうち、プロプラノロールとの親和性が最も高いのはどれか。1つ選べ。<br><br>1. アルブミン<br>2. a︲グロブリン<br>3. c︲グロブリン<br>4. フィブリノーゲン<br>5. a1︲酸性糖タンパク質	<b>正答：5</b><br>a1︲酸性糖タンパク質<br><br>テーマ：分布（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::分布 第107回
【第107回 問44】薬剤・代謝<br><br>コデインからモルヒネへの代謝に関与する酵素はどれか。1つ選べ。<br><br>1. CYP1A2<br>2. CYP2C9<br>3. CYP2D6<br>4. CYP3A4<br>5. UGT1A1	<b>正答：3</b><br>CYP2D6<br><br>テーマ：代謝（10年14問・10/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::代謝 第107回
